name,rating,reviews,price_range,category,address,phone,website,hours,plus_code,description,google_maps_url,instagram,tiktok,photos,videos,reviews_data
"Chocolata Cafe Kediri","4.2","1151","Rp 1–25.000","Chocolata Cafe Kediri  4,2(1.151)","","","","","","","https://www.google.com/maps/place/Chocolata+Cafe+Kediri/data=!4m7!3m6!1s0x2e78576d3403aa07:0xad7c46ba29f96115!8m2!3d-7.8208349!4d112.024842!16s%2Fg%2F11g6mlvrmy!19sChIJB6oDNG1XeC4RFWH5KbpGfK0","","","","",""
"Mata Hati Cafe - Kediri","4.6","1361","Rp 25–50 rb","Mata Hati Cafe - Kediri  4,6(1.361)","","","","","","","https://www.google.com/maps/place/Mata+Hati+Cafe+-+Kediri/data=!4m7!3m6!1s0x2e78576608a3e335:0x367b1633648c7119!8m2!3d-7.8029471!4d112.0032112!16s%2Fg%2F11sgr2kmls!19sChIJNeOjCGZXeC4RGXGMZDMWezY","","","","",""
"Alinea Kediri","4.6","2041","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Alinea+Kediri/data=!4m7!3m6!1s0x2e78572f8ca7934b:0xd7fe62fb6dd85f4e!8m2!3d-7.8221321!4d112.0167922!16s%2Fg%2F11j4yvtfwf!19sChIJS5OnjC9XeC4RTl_Ybfti_tc","","","","",""
"Tomoro Coffee - Joyoboyo Kediri","4.7","1108","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Tomoro+Coffee+-+Joyoboyo+Kediri/data=!4m7!3m6!1s0x2e7857eb46c1c7a7:0x2a68dc63e0f71570!8m2!3d-7.8216215!4d112.0185921!16s%2Fg%2F11vsslmq1y!19sChIJp8fBRutXeC4RcBX34GPcaCo","","","","",""
"Wuffyspace Kediri","5.0","607","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Wuffyspace+Kediri/data=!4m7!3m6!1s0x2e785721b78d3ddb:0xab2b669ad7e6244c!8m2!3d-7.8223087!4d111.987355!16s%2Fg%2F11vd9pyvfb!19sChIJ2z2NtyFXeC4RTCTm15pmK6s","","","","",""
"Lunacia","4.5","289","Rp 1–25.000","Buka Kam pukul 09.00  ""Barista di sini benar-benar ahli dalam seni kopi.""","","","","","","","https://www.google.com/maps/place/Lunacia/data=!4m7!3m6!1s0x2e78579399336d31:0x594efdd4d6ade5d7!8m2!3d-7.8222991!4d111.9872683!16s%2Fg%2F11q4bqn9yc!19sChIJMW0zmZNXeC4R1-Wt1tT9Tlk","","","","",""
"Bedjo Coffee 3","4.6","492","Rp 1–25.000","","","","","","","","https://www.google.com/maps/place/Bedjo+Coffee+3/data=!4m7!3m6!1s0x2e7857d01b493a5f:0xf548999c9bdfff49!8m2!3d-7.8315383!4d111.9940539!16s%2Fg%2F11m_x_4r2p!19sChIJXzpJG9BXeC4RSf_fm5yZSPU","","","","",""
"Texture Coffee Kediri","4.1","271","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/Texture+Coffee+Kediri/data=!4m7!3m6!1s0x2e7857e2806d0f47:0x4de5b24b51691b4e!8m2!3d-7.8198536!4d112.0120063!16s%2Fg%2F11y4lr2d47!19sChIJRw9tgOJXeC4RThtpUUuy5U0","","","","",""
"KUVY Coffee & Eatery","4.5","425","Rp 25–50 rb","Buka Kam pukul 08.00  ""Minuman dan cake standart harganya, hampir sama dg cafe lain.""  Pesan online","","","","","","","https://www.google.com/maps/place/KUVY+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e7857002cbf8c49:0x3e9d6cdfec88ac77!8m2!3d-7.8193598!4d112.0180479!16s%2Fg%2F11xm19vlvm!19sChIJSYy_LABXeC4Rd6yI7N9snT4","","","","",""
"TOMORO COFFEE - SEKARTAJI","4.7","855","Rp 25–50 rb","","","","","","","","https://www.google.com/maps/place/TOMORO+COFFEE+-+SEKARTAJI/data=!4m7!3m6!1s0x2e7857d0e02ec695:0xbabc132169f33b87!8m2!3d-7.8100142!4d112.004509!16s%2Fg%2F11vwrmq2tz!19sChIJlcYu4NBXeC4RhzvzaSETvLo","","","","",""
